Dilution,1.5,SIK,21-02-2020,9:02,,
S.100 Plate,Source Plate 1,,MWP 96,200221-EXT00004-Flex library prep,,Eppi
DispenseToWaste=True,DispenseToWasteCycles=3,DispenseToWasteVolume=5e-8,UseDeionization=True,OptimizationLevel=ReorderAndParallel,WasteErrorHandling=Ask,
Source Well,Target Well,volume [µL],Liqued Name,,,
A1,A1,,Template1,,,
B1,B1,,Template2,,,
C1,C1,,Template3,,,
D1,D1,,Template4,,,
E1,E1,,Template5,,,
F1,F1,,Template6,,,
G1,G1,,Template7,,,
H1,H1,,Template8,,,
A2,A2,,Template9,,,
B2,B2,,Template10,,,
C2,C2,,Template11,,,
D2,D2,,Template12,,,
E2,E2,,Template13,,,
F2,F2,,Template14,,,
G2,G2,,Template15,,,
H2,H2,,Template16,,,
A3,A3,,Template17,,,
B3,B3,,Template18,,,
C3,C3,,Template19,,,
D3,D3,,Template20,,,
E3,E3,,Template21,,,
F3,F3,,Template22,,,
G3,G3,,Template23,,,
H3,H3,,Template24,,,
A4,A4,,Template25,,,
B4,B4,,Template26,,,
C4,C4,,Template27,,,
D4,D4,,Template28,,,
E4,E4,,Template29,,,
F4,F4,,Template30,,,
G4,G4,,Template31,,,
H4,H4,,Template32,,,
A5,A5,,Template33,,,
B5,B5,,Template34,,,
C5,C5,,Template35,,,
D5,D5,,Template36,,,
E5,E5,,Template37,,,
F5,F5,,Template38,,,
G5,G5,,Template39,,,
H5,H5,,Template40,,,
A6,A6,,Template41,,,
B6,B6,,Template42,,,
C6,C6,,Template43,,,
D6,D6,,Template44,,,
E6,E6,,Template45,,,
F6,F6,,Template46,,,
G6,G6,,Template47,,,
H6,H6,,Template48,,,
A7,A7,,Template49,,,
B7,B7,,Template50,,,
C7,C7,,Template51,,,
D7,D7,,Template52,,,
E7,E7,,Template53,,,
F7,F7,,Template54,,,
G7,G7,,Template55,,,
H7,H7,,Template56,,,
A8,A8,,Template57,,,
B8,B8,,Template58,,,
C8,C8,,Template59,,,
D8,D8,,Template60,,,
E8,E8,,Template61,,,
F8,F8,,Template62,,,
G8,G8,,Template63,,,
H8,H8,,Template64,,,
A9,A9,,Template65,,,
B9,B9,,Template66,,,
C9,C9,,Template67,,,
D9,D9,,Template68,,,
E9,E9,,Template69,,,
F9,F9,,Template70,,,
G9,G9,,Template71,,,
H9,H9,,Template72,,,
A10,A10,,Template73,,,
B10,B10,,Template74,,,
C10,C10,,Template75,,,
D10,D10,,Template76,,,
E10,E10,,Template77,,,
F10,F10,,Template78,,,
G10,G10,,Template79,,,
H10,H10,,Template80,,,
A11,A11,,Template81,,,
B11,B11,,Template82,,,
C11,C11,,Template83,,,
D11,D11,,Template84,,,
E11,E11,,Template85,,,
F11,F11,,Template86,,,
G11,G11,,Template87,,,
H11,H11,,Template88,,,
A12,A12,,Template89,,,
B12,B12,,Template90,,,
C12,C12,,Template91,,,
D12,D12,,Template92,,,
E12,E12,,H2O,,,
F12,F12,,PC,,,
E12,A1,,H2O,,,
G12,B1,,H2O,,,
H12,C1,,H2O,,,
E12,D1,,H2O,,,
G12,E1,,H2O,,,
H12,F1,,H2O,,,
E12,G1,,H2O,,,
G12,H1,,H2O,,,
H12,A2,,H2O,,,
E12,B2,,H2O,,,
G12,C2,,H2O,,,
H12,D2,,H2O,,,
E12,E2,,H2O,,,
G12,F2,,H2O,,,
H12,G2,,H2O,,,
E12,H2,,H2O,,,
G12,A3,,H2O,,,
H12,B3,,H2O,,,
E12,C3,,H2O,,,
G12,D3,,H2O,,,
H12,E3,,H2O,,,
E12,F3,,H2O,,,
G12,G3,,H2O,,,
H12,H3,,H2O,,,
E12,A4,,H2O,,,
G12,B4,,H2O,,,
H12,C4,,H2O,,,
E12,D4,,H2O,,,
G12,E4,,H2O,,,
H12,F4,,H2O,,,
E12,G4,,H2O,,,
G12,H4,,H2O,,,
H12,A5,,H2O,,,
E12,B5,,H2O,,,
G12,C5,,H2O,,,
H12,D5,,H2O,,,
E12,E5,,H2O,,,
G12,F5,,H2O,,,
H12,G5,,H2O,,,
E12,H5,,H2O,,,
G12,A6,,H2O,,,
H12,B6,,H2O,,,
E12,C6,,H2O,,,
G12,D6,,H2O,,,
H12,E6,,H2O,,,
E12,F6,,H2O,,,
G12,G6,,H2O,,,
H12,H6,,H2O,,,
E12,A7,,H2O,,,
G12,B7,,H2O,,,
H12,C7,,H2O,,,
E12,D7,,H2O,,,
G12,E7,,H2O,,,
H12,F7,,H2O,,,
E12,G7,,H2O,,,
G12,H7,,H2O,,,
H12,A8,,H2O,,,
E12,B8,,H2O,,,
G12,C8,,H2O,,,
H12,D8,,H2O,,,
E12,E8,,H2O,,,
G12,F8,,H2O,,,
H12,G8,,H2O,,,
E12,H8,,H2O,,,
G12,A9,,H2O,,,
H12,B9,,H2O,,,
E12,C9,,H2O,,,
G12,D9,,H2O,,,
H12,E9,,H2O,,,
E12,F9,,H2O,,,
G12,G9,,H2O,,,
H12,H9,,H2O,,,
E12,A10,,H2O,,,
G12,B10,,H2O,,,
H12,C10,,H2O,,,
E12,D10,,H2O,,,
G12,E10,,H2O,,,
H12,F10,,H2O,,,
E12,G10,,H2O,,,
G12,H10,,H2O,,,
H12,A11,,H2O,,,
E12,B11,,H2O,,,
G12,C11,,H2O,,,
H12,D11,,H2O,,,
E12,E11,,H2O,,,
G12,F11,,H2O,,,
H12,G11,,H2O,,,
E12,H11,,H2O,,,
G12,A12,,H2O,,,
H12,B12,,H2O,,,
E12,C12,,H2O,,,
G12,D12,,H2O,,,
H12,E12,,H2O,,,
H12,F12,,H2O,,,
